Building Name,Building Type,Latitude,Longitude,Connected Nodes
Lot 36 - Observatory Drive Ramp,B;K;,43.07593871,-89.41410717,175133496-2;175133496-3;37965089-3;37965089-4;305439321-1;305439321-2;295042222-1;305439322-1;305439322-2;175133502-1;175133502-2;412587816-1;295042217-1;295042217-2;295042217-8;295042217-9;295042217-10;295042217-11;6622049-3;6622049-4;6622049-5;6622049-6;6622049-7;6622049-8;6622049-9;295042218-1
Cole Hall,B;,43.07737374,-89.41498787,175334820-2;175334820-3;175334820-4;175334820-5;175334820-6;38226224-1;38226224-2;38226224-3;38226224-4;38226224-5;38226224-6;38226224-7;38226224-8;38226224-9;38226224-10;38226224-11;193571971-1;295182997-4;295182997-5;295182997-6;295182997-7;295182997-8;295182997-9;295182997-10;305490227-1;305490227-2;305490227-3;305490227-4;305490226-1;305490226-2;305490226-3;299177078-1;38226229-1;38226229-2;38226220-1;38226220-2;38226226-1;265062338-1
Steenbock Memorial Library,B;L;,43.07606874,-89.41342894,412587816-1;412587816-2;37722923-1;37722923-2;37722923-3;37722923-4;6622049-8;6622049-9;6622049-10;295042219-2;295042220-2;37722922-2
Agricultural Dean's Residence,B;,43.07705353,-89.41315249,37659268-1;37659268-2;37659268-3;37965208-1;37965208-2;305437713-2;305437714-1;305437714-2;305437714-3;305437714-4;305437715-1;305437715-2;305437715-3;305437715-4;305437715-5;305437715-6;305437715-7;305437715-8;305437715-9;305437715-10;305437715-11;305437715-12;305437715-13;305437715-14;305437715-15;193571971-6;193571971-7;37965207-7;37965206-1;569791480-1;569791480-2;37965205-1;37965205-2;37965205-3;37965205-4;37965205-5;37965205-6;37965205-7;569791479-1;569791479-2;569791479-4;569791479-5;569791479-6;569791479-7;569791479-8;569791479-9;569791479-10;569791479-11;569791479-12;569791479-13;569791479-14;569791479-15;569791479-16;569791479-17;569791479-18;569791479-20;305437716-1;305437716-2;305437716-3;299177077-1;299177077-2;299177077-3;299177077-4;299177077-5;299177077-6;299177077-7;299177077-8;299177077-9;299177084-1;299177084-2;299177084-3;299177084-4;299177084-5;299177084-6;37965204-1;37965204-2;37965204-3;37965204-4;37965204-5;37965204-6;37965204-7;37965204-8;37965204-9;37965204-10;37965204-14;37965204-15;305437724-1;305437724-2;305437725-1;305437725-2;305437722-1;305437722-2;305437722-3;305437722-4;305437723-1;305437723-2;569791478-1;569791478-2;569791478-3;569791478-4;569791478-5;569791478-6;569791478-7;569791478-8;569791478-9;305437717-1;305437717-2;305437717-3;305437717-4;305437717-5;569791477-1;569791477-2;569791477-3;569791477-4;569791477-5;569791477-6;569791477-7;569791477-8;569791477-9;569791477-10;569791477-11;569791477-12;569791477-13;569791477-14;569791477-15;569791477-16;37965203-1;37965203-2;37965203-3;37965209-1;37965209-2;37965209-3;37965209-4;37965209-5;37965209-6;37965209-7;37965209-8;37965209-9;37965209-10;37965209-11;37965209-12;37965209-13;37965209-14;37965209-15;189598315-5;189598315-6;189598315-7;385379986-1;299177065-2;299177082-4
Engineering Research Building,B;,43.07257082,-89.41152845,175124215-5;175124215-6;175124215-7;175124215-8;175124215-9;175124215-10;175124215-11;175124215-12;175124215-13;295278466-1;295278466-2;295278466-3;232697495-1;175124212-2;175124212-3;175124212-5;175124212-6;295278460-3;295278460-4;175124208-1;175124208-2;175124208-3;175124208-4;175124211-1;175124211-2;175124211-3
Materials Science and Engineering,B;,43.07301449,-89.41137038,Campus & Babcock (EB);175124215-13;175124212-4;175124212-5;175124212-6;175124208-1;175124208-2;175124208-3;175124208-4;175124208-5;175124208-6;175124208-7;175124208-8;175124218-3;175117523-8;175117523-9;175117523-10;175117523-11;175124220-5;664966985-1;664966985-2;175124206-1;175124206-2;355176325-3;120306172-2;178375522-4;178375521-5;178375521-6;458185181-1;458185181-2;128992394-1;128992394-2;128992394-3
1410 Engineering Dr,B;,43.07256669,-89.40965132,295278460-8;295278460-9;175117523-18;175117523-19;175117523-20;175117523-21;175117523-22;175117523-23;175117523-24;175117523-25;175117523-26;175117523-27;175117523-28;175117523-29;265146768-2;265146768-3;175124219-3;175124219-4;175124219-5;295278465-1;295278465-2;175124211-6;175124211-7;385381129-1;295278464-1;295319998-1;925301388-3;925301388-4;295320008-1;295320008-2;456466186-1;456466186-2;295278469-1;295278469-2;295278469-3;295278469-4;295278469-5;295278467-1;295278467-2;295278467-3;295320013-1;382191988-1
DeLuca Biochemistry Building,B;,43.07384555,-89.4110052,178374286-1;178375521-1;178375521-2;732013438-1;670945438-1;670945438-2;299404796-1;299404796-2;299404796-3;299404796-4;299404796-5;6715123-1;6715123-2;174311672-2;174311672-3;174311672-4;174311672-5;174311672-6;440424678-1;440424678-2;440424675-1;440424675-2;440424681-1;440424681-2;440424672-1;440424672-2;440424674-1;440424674-2;670945439-2;670945439-3;412585897-2;412585897-3;412585897-4;458185190-2;458185190-3;458185190-4;432707857-1;432707857-2;432707855-1;432707855-2;403183159-1;403183159-2;265146770-1;174361011-3;174361011-4
DeLuca Biochemistry Laboratories,B;,43.07410121,-89.41196161,355176351-8;355176331-1;355176331-2;355176331-3;299404794-3;403183158-1;267153762-15;6715123-4;6715123-5;174311672-7;174311672-8;440424678-1;440424678-2;440424675-2;403183157-1;412585897-2
Plant Sciences,B;,43.0745551,-89.4122449,Babcock & Linden (NB);299404794-1;299404798-1;299404798-2;299404798-3;403183158-1;403183158-2;403183158-3;6610645-1;6715123-13;6715123-14;6715123-15;174311672-14;174311672-15;174311672-16
