Building Name,Building Type,Latitude,Longitude,Connected Nodes
366244823-11,P;,43.073457,-89.4158474,366244823-10;366244823-12
366244823-12,P;,43.0734396,-89.4159494,366244823-11;495016702-9;38342351-5;495016701-1
299558333-1,P;,43.0733383,-89.4146146,299558333-2;1610 University Ave.;382212473-2
299558333-2,P;,43.0732971,-89.4146166,299558333-1;1610 University Ave.
382212473-1,P;,43.0733409,-89.4148365,382212473-2;Akasha House;1610 University Ave.;299558330-1;382212467-3;382211701-4
382212473-2,P;,43.0733383,-89.4146146,382212473-1;382212473-3;1610 University Ave.;299558333-1
382212473-3,P;,43.0733351,-89.4140728,382212473-2;382212473-4;Wisconsin Energy Institute
382212473-4,P;,43.0733247,-89.4140252,382212473-3;295320010-1;382211476-4
700376919-1,P;,43.0733929,-89.4149309,700376919-2;Akasha House;1610 University Ave.;6775163-25;495016701-4
700376919-2,P;,43.0733928,-89.414839,700376919-1;700376919-3;Akasha House;1610 University Ave.;382211701-3
700376919-3,P;,43.0733905,-89.414638,700376919-2;700376919-4;1610 University Ave.
700376919-4,P;,43.0733893,-89.4144348,700376919-3;700376919-5;1610 University Ave.;299558342-1
700376919-5,P;,43.0733814,-89.4141808,700376919-4;700376919-6;Wisconsin Energy Institute
700376919-6,P;,43.0733775,-89.4140789,700376919-5;700376919-7;Wisconsin Energy Institute
700376919-7,P;,43.0733754,-89.4140245,700376919-6;700376919-8;Wisconsin Energy Institute;382211476-3
700376919-8,P;,43.0733677,-89.4139062,700376919-7;Wisconsin Energy Institute;700445178-3;700376920-2;700405177-1
178375770-1,P;,43.0735095,-89.4159478,178375770-2;495016698-2;38342351-4
178375770-2,P;,43.0735065,-89.4158082,178375770-1;178375770-3;Enzyme Institute
178375770-3,P;,43.0735069,-89.41565,178375770-2;178375770-4;Enzyme Institute;295143802-2
178375770-4,P;,43.0735073,-89.4155689,178375770-3;178375770-5;Enzyme Institute;299558335-1
178375770-5,P;,43.0735054,-89.4152418,178375770-4;178375770-6;Enzyme Institute
178375770-6,P;,43.0735033,-89.4150349,178375770-5;178375770-7;Enzyme Institute;1610 University Ave.;382196373-1
178375770-7,P;,43.0735015,-89.4148439,178375770-6;178375770-8;1610 University Ave.;382211701-1
178375770-8,P;,43.0734974,-89.4144332,178375770-7;178375770-9;1610 University Ave.;Wisconsin Energy Institute;University & N Breese (WB);299558342-3
178375770-9,P;,43.073497,-89.4143943,178375770-8;178375770-10;1610 University Ave.;Wisconsin Energy Institute;University & N Breese (WB)
178375770-10,P;,43.0735054,-89.4143483,178375770-9;178375770-11;1610 University Ave.;Wisconsin Energy Institute;University & N Breese (WB)
178375770-11,P;,43.073519,-89.4142687,178375770-10;178375770-12;1610 University Ave.;Wisconsin Energy Institute;University & N Breese (WB)
178375770-12,P;,43.0735214,-89.4140241,178375770-11;178375770-13;Wisconsin Energy Institute;382211476-1
178375770-13,P;,43.0735224,-89.4137913,178375770-12;178375770-14;Wisconsin Energy Institute;295320023-5
178375770-14,P;,43.0735253,-89.4133491,178375770-13;178375770-15
178375770-15,P;,43.0735272,-89.4133035,178375770-14;178375770-16
178375770-16,P;,43.0735361,-89.4132667,178375770-15;178375770-17
178375770-17,P;,43.0735604,-89.4132351,178375770-16;178375770-18;295042232-5
178375770-18,P;,43.0735687,-89.4132132,178375770-17;178375770-19
178375770-19,P;,43.0735749,-89.413193,178375770-18;355176327-3;355176351-1
299558342-1,P;,43.0733893,-89.4144348,299558342-2;1610 University Ave.;700376919-4
299558342-2,P;,43.0734476,-89.4144339,299558342-1;299558342-3;1610 University Ave.;University & N Breese (WB);366244823-5
299558342-3,P;,43.0734974,-89.4144332,299558342-2;299558342-4;1610 University Ave.;Wisconsin Energy Institute;University & N Breese (WB);178375770-8
299558342-4,P;,43.0739427,-89.4144319,299558342-3;1610 University Ave.;Wisconsin Energy Institute;299558353-6
382211476-1,P;,43.0735214,-89.4140241,382211476-2;Wisconsin Energy Institute;178375770-12
382211476-2,P;,43.0734549,-89.4140251,382211476-1;382211476-3;Wisconsin Energy Institute;366244823-2
382211476-3,P;,43.0733754,-89.4140245,382211476-2;382211476-4;Wisconsin Energy Institute;700376919-7
382211476-4,P;,43.0733247,-89.4140252,382211476-3;295320010-1;382212473-4
295320015-1,P;,43.0732976,-89.4138005,295320015-2;295320023-2
295320015-2,P;,43.0733014,-89.4139064,295320015-1;295320015-3;700445178-2
295320015-3,P;,43.0733055,-89.414025,295320015-2;295320010-2
700376920-1,P;,43.0734559,-89.4139038,700376920-2;Wisconsin Energy Institute;366244823-1;355176323-8
700376920-2,P;,43.0733677,-89.4139062,700376920-1;Wisconsin Energy Institute;700445178-3;700376919-8;700405177-1
295320023-1,P;,43.073288,-89.4137864,295320023-2;175330823-1;175117523-1
295320023-2,P;,43.0732976,-89.4138005,295320023-1;295320023-3;295320015-1
295320023-3,P;,43.0733639,-89.4137964,295320023-2;295320023-4;Wisconsin Energy Institute;700405177-2
295320023-4,P;,43.0734567,-89.4137925,295320023-3;295320023-5;Wisconsin Energy Institute;355176323-7
295320023-5,P;,43.0735224,-89.4137913,295320023-4;Wisconsin Energy Institute;178375770-13
700405177-1,P;,43.0733677,-89.4139062,700405177-2;Wisconsin Energy Institute;700445178-3;700376919-8;700376920-2
700405177-2,P;,43.0733639,-89.4137964,700405177-1;700405177-3;Wisconsin Energy Institute;295320023-3
700405177-3,P;,43.0733598,-89.4135547,700405177-2;700405177-4
700405177-4,P;,43.0733566,-89.4133318,700405177-3;University & N Breese (EB);355176320-1
458185184-1,P;,43.0740301,-89.4139972,458185184-2;Wisconsin Energy Institute;6724188-17
458185184-2,P;,43.0739446,-89.413637,458185184-1;458185184-3;Wisconsin Energy Institute
458185184-3,P;,43.0739076,-89.4135083,458185184-2;458185184-4;Wisconsin Energy Institute
458185184-4,P;,43.0738648,-89.4134016,458185184-3;6724207-1
670945437-1,P;,43.0747843,-89.4143455,670945437-2
670945437-2,P;,43.0746168,-89.4143562,670945437-1;670945437-3
670945437-3,P;,43.0745647,-89.4142149,670945437-2;670945437-4
670945437-4,P;,43.0744565,-89.4141799,670945437-3;6610645-13
670945436-1,P;,43.0744842,-89.4136327,670945436-2;Babcock Hall;6610645-10
670945436-2,P;,43.0743712,-89.4136335,670945436-1;299404790-6
355176323-1,P;,43.0735225,-89.4131236,355176323-2;355176327-2;366244824-3
355176323-2,P;,43.0734778,-89.4132448,355176323-1;355176323-3
355176323-3,P;,43.0734638,-89.4133043,355176323-2;355176323-4
355176323-4,P;,43.0734576,-89.4133795,355176323-3;355176323-5;University & N Breese (EB)
355176323-5,P;,43.0734571,-89.4135735,355176323-4;355176323-6
355176323-6,P;,43.0734568,-89.4137559,355176323-5;355176323-7;Wisconsin Energy Institute
355176323-7,P;,43.0734567,-89.4137925,355176323-6;355176323-8;Wisconsin Energy Institute;295320023-4
355176323-8,P;,43.0734559,-89.4139038,355176323-7;Wisconsin Energy Institute;366244823-1;700376920-1
295042232-1,P;,43.0736284,-89.4137894,295042232-2;Wisconsin Energy Institute
295042232-2,P;,43.0736033,-89.4135319,295042232-1;295042232-3;Wisconsin Energy Institute
295042232-3,P;,43.0735848,-89.413365,295042232-2;295042232-4
295042232-4,P;,43.0735758,-89.4132755,295042232-3;295042232-5
295042232-5,P;,43.0735604,-89.4132351,295042232-4;178375770-17
355176327-1,P;,43.0734838,-89.4130723,355176327-2;664966984-5
355176327-2,P;,43.0735225,-89.4131236,355176327-1;355176327-3;355176323-1;366244824-3
355176327-3,P;,43.0735749,-89.413193,355176327-2;178375770-19;355176351-1
664966984-1,P;,43.0734062,-89.4128299,664966984-2;178375769-3
664966984-2,P;,43.0734383,-89.4128935,664966984-1;664966984-3;178375771-6
664966984-3,P;,43.0734649,-89.4130374,664966984-2;664966984-4
664966984-4,P;,43.0734729,-89.4130579,664966984-3;664966984-5
664966984-5,P;,43.0734838,-89.4130723,664966984-4;355176327-1
366244824-1,P;,43.0735674,-89.41299,366244824-2;307231692-2;355176318-9;366244825-1
366244824-2,P;,43.0735505,-89.4130409,366244824-1;366244824-3
366244824-3,P;,43.0735225,-89.4131236,366244824-2;355176323-1;355176327-2
307231692-1,P;,43.0736174,-89.4130613,307231692-2;6724207-6;355176351-2
307231692-2,P;,43.0735674,-89.41299,307231692-1;366244824-1;355176318-9;366244825-1
628212012-1,P;,43.0737301,-89.4126975,628212012-2;355176351-4;178374286-10
628212012-2,P;,43.073836,-89.4129779,628212012-1;628212012-3
628212012-3,P;,43.0739375,-89.4132773,628212012-2;628212012-4
628212012-4,P;,43.07403,-89.4135906,628212012-3;628212012-5
628212012-5,P;,43.0740704,-89.4137563,628212012-4;628212012-6;Wisconsin Energy Institute
628212012-6,P;,43.0741089,-89.4139721,628212012-5;628212012-7;Wisconsin Energy Institute
628212012-7,P;,43.0741538,-89.4142354,628212012-6;5531884-1
6724207-1,P;,43.0738648,-89.4134016,6724207-2;458185184-4
6724207-2,P;,43.0738295,-89.4133423,6724207-1;6724207-3
6724207-3,P;,43.073775,-89.4132621,6724207-2;6724207-4
6724207-4,P;,43.0736818,-89.4131367,6724207-3;6724207-5
6724207-5,P;,43.0736547,-89.4131059,6724207-4;6724207-6
6724207-6,P;,43.0736174,-89.4130613,6724207-5;307231692-1;355176351-2
178375769-1,P;,43.0732762,-89.4128311,178375769-2;175117523-4
178375769-2,P;,43.0733505,-89.4128303,178375769-1;178375769-3;355176320-4
178375769-3,P;,43.0734062,-89.4128299,178375769-2;664966984-1
178375771-1,P;,43.0736905,-89.4127984,178375771-2;355176351-3
178375771-2,P;,43.0736035,-89.4127962,178375771-1;178375771-3;355176318-7
178375771-3,P;,43.0735611,-89.4127951,178375771-2;178375771-4
178375771-4,P;,43.0735431,-89.4128096,178375771-3;178375771-5
178375771-5,P;,43.0734989,-89.4128452,178375771-4;178375771-6;366244825-2
178375771-6,P;,43.0734383,-89.4128935,178375771-5;664966984-2
355176318-1,P;,43.0734879,-89.4122061,355176318-2;355176325-8
355176318-2,P;,43.0735092,-89.4123099,355176318-1;355176318-3
355176318-3,P;,43.0735342,-89.4124213,355176318-2;355176318-4
355176318-4,P;,43.0735739,-89.4125684,355176318-3;355176318-5
355176318-5,P;,43.0735907,-89.412635,355176318-4;355176318-6
355176318-6,P;,43.0736031,-89.4127245,355176318-5;355176318-7
355176318-7,P;,43.0736035,-89.4127962,355176318-6;355176318-8;178375771-2
355176318-8,P;,43.0735931,-89.4128873,355176318-7;355176318-9
355176318-9,P;,43.0735674,-89.41299,355176318-8;366244824-1;307231692-2;366244825-1
355176320-1,P;,43.0733566,-89.4133318,355176320-2;University & N Breese (EB);700405177-4
355176320-2,P;,43.0733517,-89.4129823,355176320-1;355176320-3;6684736-1
355176320-3,P;,43.0733509,-89.4128864,355176320-2;355176320-4
355176320-4,P;,43.0733505,-89.4128303,355176320-3;355176320-5;178375769-2
355176320-5,P;,43.0733449,-89.4124679,355176320-4;355176320-6
355176320-6,P;,43.0733345,-89.4118157,355176320-5;366244825-7;120306172-1
366244825-1,P;,43.0735674,-89.41299,366244825-2;366244824-1;307231692-2;355176318-9
366244825-2,P;,43.0734989,-89.4128452,366244825-1;366244825-3;178375771-5
366244825-3,P;,43.0734686,-89.4127353,366244825-2;366244825-4
366244825-4,P;,43.0734315,-89.4125512,366244825-3;366244825-5
366244825-5,P;,43.0734008,-89.4123728,366244825-4;366244825-6
366244825-6,P;,43.0733646,-89.4121165,366244825-5;366244825-7
366244825-7,P;,43.0733345,-89.4118157,366244825-6;355176320-6;120306172-1
355176351-1,P;,43.0735749,-89.413193,355176351-2;178375770-19;355176327-3
355176351-2,P;,43.0736174,-89.4130613,355176351-1;355176351-3;307231692-1;6724207-6
355176351-3,P;,43.0736905,-89.4127984,355176351-2;355176351-4;178375771-1
355176351-4,P;,43.0737301,-89.4126975,355176351-3;355176351-5;628212012-1;178374286-10
355176351-5,P;,43.07377,-89.4125867,355176351-4;355176351-6;175133498-1
355176351-6,P;,43.0738362,-89.4124568,355176351-5;355176351-7
355176351-7,P;,43.0738741,-89.4124426,355176351-6;355176351-8
355176351-8,P;,43.0739046,-89.4124326,355176351-7;DeLuca Biochemistry Laboratories;355176331-1;267153762-15
355176331-1,P;,43.0739046,-89.4124326,355176331-2;DeLuca Biochemistry Laboratories;355176351-8;267153762-15
355176331-2,P;,43.073931,-89.4124164,355176331-1;355176331-3;DeLuca Biochemistry Laboratories;6715123-5
355176331-3,P;,43.0739826,-89.4123847,355176331-2;DeLuca Biochemistry Laboratories;174311672-8
299404790-1,P;,43.0741023,-89.4127679,299404790-2;267153762-9;267153762-10
299404790-2,P;,43.0741893,-89.4131521,299404790-1;299404790-3
299404790-3,P;,43.0742342,-89.4133083,299404790-2;299404790-4
299404790-4,P;,43.0743091,-89.4135356,299404790-3;299404790-5
299404790-5,P;,43.0743435,-89.4136325,299404790-4;299404790-6
299404790-6,P;,43.0743712,-89.4136335,299404790-5;670945436-2
670945435-1,P;,43.0744976,-89.4134099,670945435-2;Babcock Hall;6610645-7
670945435-2,P;,43.0743475,-89.4134062,670945435-1
670945434-1,P;,43.0744932,-89.4131781,670945434-2;6610645-6
670945434-2,P;,43.0742666,-89.4131734,670945434-1
670945433-1,P;,43.0744931,-89.4129573,670945433-2;6610645-3
670945433-2,P;,43.0742119,-89.4129564,670945433-1
175334819-1,P;,43.0744923,-89.4131116,175334819-2;6610645-4;6610645-5
175334819-2,P;,43.0746712,-89.4131109,175334819-1;175334819-3;Babcock Hall
175334819-3,P;,43.0746699,-89.4130162,175334819-2
299404794-1,P;,43.0743771,-89.4125324,299404794-2;Plant Sciences;299404798-2
299404794-2,P;,43.0740807,-89.4125324,299404794-1;299404794-3
299404794-3,P;,43.0740807,-89.4124449,299404794-2;DeLuca Biochemistry Laboratories
299404798-1,P;,43.074378,-89.4126552,299404798-2;Plant Sciences;174311672-14
299404798-2,P;,43.0743771,-89.4125324,299404798-1;299404798-3;Plant Sciences;299404794-1
299404798-3,P;,43.0743767,-89.4124867,299404798-2;Plant Sciences
403183158-1,P;,43.0744585,-89.4120849,403183158-2;DeLuca Biochemistry Laboratories;Plant Sciences;Horticulture
403183158-2,P;,43.0744498,-89.4126537,403183158-1;403183158-3;Plant Sciences;174311672-15
403183158-3,P;,43.0744489,-89.4127485,403183158-2;Plant Sciences;6715123-13
38263366-1,P;,43.0750201,-89.4179564,38263366-2;175115949-5
38263366-2,P;,43.074844,-89.4179488,38263366-1;38263366-3
38263366-3,P;,43.0747661,-89.4179116,38263366-2;38263366-4
38263366-4,P;,43.0746954,-89.417865,38263366-3;38263366-5
38263366-5,P;,43.0745917,-89.4178055,38263366-4;38263366-6
38263366-6,P;,43.0745159,-89.4177371,38263366-5;38263366-7
38263366-7,P;,43.0744828,-89.4176651,38263366-6;38263366-8
38263366-8,P;,43.0744733,-89.4175665,38263366-7;38263366-9
38263366-9,P;,43.074479,-89.416874,38263366-8;38263366-10;Muscle & Meat Science Research Laboratory;670944322-5
38263366-10,P;,43.0744797,-89.416795,38263366-9;Muscle & Meat Science Research Laboratory
383011073-1,P;,43.0750929,-89.4173006,383011073-2;Dairy Cattle Instruction & Research Center;295143795-12
383011073-2,P;,43.075062,-89.4172603,383011073-1;Dairy Cattle Instruction & Research Center;175115949-2
6771167-1,P;,43.0752529,-89.4171235,6771167-2;Dairy Cattle Instruction & Research Center
6771167-2,P;,43.0752438,-89.4171583,6771167-1;6771167-3;Dairy Cattle Instruction & Research Center
6771167-3,P;,43.0752275,-89.4171878,6771167-2;6771167-4;Dairy Cattle Instruction & Research Center
6771167-4,P;,43.0752056,-89.4172094,6771167-3;6771167-5;Dairy Cattle Instruction & Research Center
6771167-5,P;,43.0751801,-89.4172212,6771167-4;6771167-6;Dairy Cattle Instruction & Research Center
6771167-6,P;,43.0751531,-89.4172222,6771167-5;6771167-7;Dairy Cattle Instruction & Research Center
6771167-7,P;,43.0751271,-89.4172122,6771167-6;6771167-8;Dairy Cattle Instruction & Research Center
6771167-8,P;,43.0751044,-89.4171921,6771167-7;6771167-9;Dairy Cattle Instruction & Research Center;175115949-1
6771167-9,P;,43.0750858,-89.4171607,6771167-8;6771167-10;Dairy Cattle Instruction & Research Center
6771167-10,P;,43.0750756,-89.4171228,6771167-9;6771167-11;Dairy Cattle Instruction & Research Center
6771167-11,P;,43.0750748,-89.4170824,6771167-10;6771167-12;Dairy Cattle Instruction & Research Center
6771167-12,P;,43.0750836,-89.4170438,6771167-11;6771167-13;Dairy Cattle Instruction & Research Center
6771167-13,P;,43.0751011,-89.4170112,6771167-12;6771167-14;Dairy Cattle Instruction & Research Center
6771167-14,P;,43.0751252,-89.416988,6771167-13;6771167-15;Dairy Cattle Instruction & Research Center
6771167-15,P;,43.0751536,-89.4169767,6771167-14;6771167-16;Dairy Cattle Instruction & Research Center;295143803-2
6771167-16,P;,43.0751774,-89.4169771,6771167-15;6771167-17;Dairy Cattle Instruction & Research Center
6771167-17,P;,43.0752002,-89.4169861,6771167-16;6771167-18;Dairy Cattle Instruction & Research Center
6771167-18,P;,43.0752206,-89.4170028,6771167-17;6771167-19;Dairy Cattle Instruction & Research Center
6771167-19,P;,43.0752371,-89.4170263,6771167-18;6771167-20;Dairy Cattle Instruction & Research Center
6771167-20,P;,43.0752485,-89.4170549,6771167-19;6771167-21;Dairy Cattle Instruction & Research Center
6771167-21,P;,43.0752541,-89.4170865,6771167-20;6771167-22;Dairy Cattle Instruction & Research Center;175115950-1
6771167-22,P;,43.0752529,-89.4171235,6771167-21;Dairy Cattle Instruction & Research Center
38263355-1,P;,43.0747343,-89.4163755,38263355-2;Muscle & Meat Science Research Laboratory;670944322-1
38263355-2,P;,43.0747339,-89.4161394,38263355-1;38263355-3;Muscle & Meat Science Research Laboratory
38263355-3,P;,43.0749097,-89.4161389,38263355-2;38263355-4;403187759-5
38263355-4,P;,43.0750252,-89.4161385,38263355-3;38263355-5;Horse Barn;38263365-6
38263355-5,P;,43.0751429,-89.4161382,38263355-4;38263355-6;Horse Barn
38263355-6,P;,43.0751468,-89.4168466,38263355-5;Dairy Cattle Instruction & Research Center;295143803-1
295143803-1,P;,43.0751468,-89.4168466,295143803-2;Dairy Cattle Instruction & Research Center;38263355-6
295143803-2,P;,43.0751536,-89.4169767,295143803-1;Dairy Cattle Instruction & Research Center;6771167-15
38263365-1,P;,43.0754889,-89.4158544,38263365-2;Horse Barn;175334816-14
38263365-2,P;,43.0753591,-89.4158368,38263365-1;38263365-3;Horse Barn;754886582-3
38263365-3,P;,43.0752539,-89.4158226,38263365-2;38263365-4;Horse Barn
38263365-4,P;,43.0750368,-89.4158018,38263365-3;38263365-5;722471860-2
38263365-5,P;,43.075024,-89.4158782,38263365-4;38263365-6
38263365-6,P;,43.0750252,-89.4161385,38263365-5;38263365-7;Horse Barn;38263355-4
38263365-7,P;,43.0750288,-89.4169366,38263365-6;Dairy Cattle Instruction & Research Center
305490451-1,P;,43.0753453,-89.41753,305490451-2
305490451-2,P;,43.0753434,-89.4173637,305490451-1;305490451-3
305490451-3,P;,43.0753758,-89.4172967,305490451-2;305490450-2
305490450-1,P;,43.0753766,-89.4170933,305490450-2;175115950-2
305490450-2,P;,43.0753758,-89.4172967,305490450-1;305490450-3;305490451-3
305490450-3,P;,43.0753748,-89.4175553,305490450-2
175115950-1,P;,43.0752541,-89.4170865,175115950-2;Dairy Cattle Instruction & Research Center;6771167-21
175115950-2,P;,43.0753766,-89.4170933,175115950-1;175115950-3;305490450-1
175115950-3,P;,43.0754381,-89.4170917,175115950-2;175115950-4;Livestock Laboratory;385381139-2
175115950-4,P;,43.0755112,-89.4170915,175115950-3;Livestock Laboratory;6668788-9
385381139-1,P;,43.0754497,-89.417151,385381139-2;Livestock Laboratory;385381138-3
385381139-2,P;,43.0754381,-89.4170917,385381139-1;385381139-3;Livestock Laboratory;175115950-3
385381139-3,P;,43.0754262,-89.4170321,385381139-2;Livestock Laboratory;385381150-1
37748536-1,P;,43.0756966,-89.4159996,37748536-2;Horse Barn;382211463-3;382195760-3;37691880-1
37748536-2,P;,43.0756578,-89.4161138,37748536-1;37748536-3;Horse Barn
37748536-3,P;,43.0756293,-89.4162073,37748536-2;37748536-4;Horse Barn;37748531-2
37748536-4,P;,43.0755962,-89.4163205,37748536-3;37748536-5;Horse Barn
37748536-5,P;,43.0755781,-89.4164047,37748536-4;37748536-6;Livestock Laboratory;Horse Barn
37748536-6,P;,43.0755703,-89.4165165,37748536-5;37748536-7;Livestock Laboratory;Horse Barn
37748536-7,P;,43.0755733,-89.4170092,37748536-6;37748536-8;Livestock Laboratory
37748536-8,P;,43.0755623,-89.4170316,37748536-7;37748536-9;Livestock Laboratory
37748536-9,P;,43.0755706,-89.4175241,37748536-8;37748536-10;491002036-2;491002036-3
37748536-10,P;,43.0755818,-89.4183154,37748536-9
491002036-1,P;,43.0755204,-89.4175259,491002036-2;6668788-10
491002036-2,P;,43.0755706,-89.4175241,491002036-1;491002036-3;37748536-9
491002036-3,P;,43.0755771,-89.4175239,491002036-2;491002036-4;37748536-9
491002036-4,P;,43.0758491,-89.4175005,491002036-3;491002036-5
491002036-5,P;,43.0759004,-89.4174264,491002036-4;491002036-6
491002036-6,P;,43.0759942,-89.4173031,491002036-5;Livestock Laboratory;37748531-11
385381150-1,P;,43.0754262,-89.4170321,385381150-2;Livestock Laboratory;385381139-3
385381150-2,P;,43.075424,-89.4168742,385381150-1;385381150-3;Livestock Laboratory
385381150-3,P;,43.0754266,-89.4167241,385381150-2;385381150-4;Livestock Laboratory;Horse Barn
385381150-4,P;,43.0754538,-89.4164897,385381150-3;385381150-5;Horse Barn
385381150-5,P;,43.075482,-89.4163317,385381150-4;385381150-6;Horse Barn
385381150-6,P;,43.0754798,-89.4161994,385381150-5;385381150-7;Horse Barn
385381150-7,P;,43.0755514,-89.4159945,385381150-6;385381150-8;Horse Barn
385381150-8,P;,43.0755574,-89.4159659,385381150-7;385381150-9;Horse Barn
385381150-9,P;,43.075561,-89.4159361,385381150-8;Horse Barn;175334816-16;382211463-1
37748531-1,P;,43.0755629,-89.4162007,37748531-2;Horse Barn;6668788-4
37748531-2,P;,43.0756293,-89.4162073,37748531-1;37748531-3;Horse Barn;37748536-3
37748531-3,P;,43.0758232,-89.4162097,37748531-2;37748531-4;Agricultural Engineering Laboratory
37748531-4,P;,43.0758506,-89.4162178,37748531-3;37748531-5;Agricultural Engineering Laboratory
37748531-5,P;,43.0758624,-89.4162473,37748531-4;37748531-6;Agricultural Engineering Laboratory
37748531-6,P;,43.0758683,-89.4163304,37748531-5;37748531-7;Livestock Laboratory;Agricultural Engineering Laboratory
37748531-7,P;,43.0758761,-89.4164458,37748531-6;37748531-8;Livestock Laboratory;Agricultural Engineering Laboratory
37748531-8,P;,43.0758859,-89.4165477,37748531-7;37748531-9;Livestock Laboratory;Agricultural Engineering Laboratory
37748531-9,P;,43.0758941,-89.4165681,37748531-8;37748531-10;Livestock Laboratory;Agricultural Engineering Laboratory
37748531-10,P;,43.0759842,-89.4165654,37748531-9;37748531-11;Livestock Laboratory;Agricultural Engineering Laboratory
37748531-11,P;,43.0759942,-89.4173031,37748531-10;Livestock Laboratory;491002036-6
562296277-1,P;,43.0747499,-89.4158772,562296277-2;403187760-2;403187760-3
562296277-2,P;,43.0747217,-89.4158835,562296277-1;562296277-3
562296277-3,P;,43.0747094,-89.4158972,562296277-2;562296277-4
562296277-4,P;,43.0747065,-89.4159191,562296277-3;562296277-5;Muscle & Meat Science Research Laboratory
562296277-5,P;,43.0747113,-89.415943,562296277-4;562296277-6;Muscle & Meat Science Research Laboratory
562296277-6,P;,43.0747195,-89.4159521,562296277-5;562296277-7;Muscle & Meat Science Research Laboratory
562296277-7,P;,43.0747287,-89.4159633,562296277-6;562296277-8;Muscle & Meat Science Research Laboratory
562296277-8,P;,43.0747334,-89.415988,562296277-7;Muscle & Meat Science Research Laboratory;38287391-20;38287391-21
722471860-1,P;,43.075113,-89.4155692,722471860-2;Stock Pavilion;38263356-3
722471860-2,P;,43.0750368,-89.4158018,722471860-1;722471860-3;38263365-4
722471860-3,P;,43.0749424,-89.4158247,722471860-2;722471860-4;403187759-1;572847834-2
722471860-4,P;,43.0749056,-89.4158337,722471860-3;722471860-5
722471860-5,P;,43.0747928,-89.4158498,722471860-4;722471860-6
722471860-6,P;,43.0747466,-89.4158582,722471860-5;722471860-7;38287391-4;38287391-5;403187760-1
722471860-7,P;,43.0747383,-89.4158597,722471860-6;722471860-8;38287391-3;38287391-4;403187760-1
722471860-8,P;,43.074645,-89.4158767,722471860-7;722471860-9;Muscle & Meat Science Research Laboratory
722471860-9,P;,43.0744943,-89.4159053,722471860-8;722471860-10;Muscle & Meat Science Research Laboratory
722471860-10,P;,43.0744865,-89.4159082,722471860-9;722471860-11;Muscle & Meat Science Research Laboratory
722471860-11,P;,43.0744829,-89.415913,722471860-10;722471860-12;Muscle & Meat Science Research Laboratory
722471860-12,P;,43.0744807,-89.4159219,722471860-11;722471860-13;Muscle & Meat Science Research Laboratory
722471860-13,P;,43.0744811,-89.4159312,722471860-12;722471860-14;Muscle & Meat Science Research Laboratory
722471860-14,P;,43.0744821,-89.4159382,722471860-13;722471860-15;Muscle & Meat Science Research Laboratory;38287391-22
722471860-15,P;,43.074485,-89.4159441,722471860-14;722471860-16;Muscle & Meat Science Research Laboratory;38287391-22
722471860-16,P;,43.0744917,-89.4159493,722471860-15;Muscle & Meat Science Research Laboratory;38287391-22
403187760-1,P;,43.0747466,-89.4158582,403187760-2;38287391-4;38287391-5;722471860-6;722471860-7
403187760-2,P;,43.0747499,-89.4158772,403187760-1;403187760-3;562296277-1
403187760-3,P;,43.0747518,-89.4158878,403187760-2;403187760-4;562296277-1
403187760-4,P;,43.0747649,-89.4159277,403187760-3;403187760-5
403187760-5,P;,43.0747899,-89.4159717,403187760-4;403187760-6;Muscle & Meat Science Research Laboratory;38287391-16
403187760-6,P;,43.0748142,-89.4159969,403187760-5;403187760-7;Muscle & Meat Science Research Laboratory
403187760-7,P;,43.0748487,-89.4160108,403187760-6;403187760-8
403187760-8,P;,43.0749161,-89.4160376,403187760-7;403187759-3;403187759-4
403187759-1,P;,43.0749424,-89.4158247,403187759-2;722471860-3;572847834-2
403187759-2,P;,43.0749274,-89.4159639,403187759-1;403187759-3
403187759-3,P;,43.0749161,-89.4160376,403187759-2;403187759-4;403187760-8
403187759-4,P;,43.0749145,-89.4160479,403187759-3;403187759-5;403187760-8
403187759-5,P;,43.0749097,-89.4161389,403187759-4;38263355-3
572847834-1,P;,43.0748798,-89.415778,572847834-2;6610645-21
572847834-2,P;,43.0749424,-89.4158247,572847834-1;722471860-3;403187759-1
38263356-1,P;,43.0752228,-89.4154163,38263356-2;Stock Pavilion;189598204-8
38263356-2,P;,43.0751542,-89.4155082,38263356-1;38263356-3;Stock Pavilion;175334816-8
38263356-3,P;,43.075113,-89.4155692,38263356-2;Stock Pavilion;722471860-1
37965088-1,P;,43.0750574,-89.415142,37965088-2;Stock Pavilion;37965087-2
37965088-2,P;,43.0750307,-89.4151432,37965088-1;Stock Pavilion
37965087-1,P;,43.0750879,-89.4151418,37965087-2;Stock Pavilion;37965086-2
37965087-2,P;,43.0750574,-89.415142,37965087-1;Stock Pavilion;37965088-1
37965086-1,P;,43.0751146,-89.415141,37965086-2;Stock Pavilion;175334816-4
37965086-2,P;,43.0750879,-89.4151418,37965086-1;Stock Pavilion;37965087-1
175334816-1,P;,43.0750948,-89.4146683,175334816-2;382211470-3
175334816-2,P;,43.0750975,-89.4147226,175334816-1;175334816-3;Stock Pavilion
175334816-3,P;,43.0751154,-89.4148158,175334816-2;175334816-4;Stock Pavilion
175334816-4,P;,43.0751146,-89.415141,175334816-3;175334816-5;Stock Pavilion;37965086-1
